
time 00h 24m 40s, episodes 1185, frames 291000, mean epr 1.27, run loss -0.20
time 00h 24m 44s, episodes 1188, frames 292000, mean epr 1.26, run loss -0.32
time 00h 24m 55s, episodes 1193, frames 294000, mean epr 1.27, run loss -0.26
time 00h 25m 00s, episodes 1201, frames 295000, mean epr 1.32, run loss 0.18
time 00h 25m 06s, episodes 1204, frames 296000, mean epr 1.31, run loss 0.12
time 00h 25m 11s, episodes 1207, frames 297000, mean epr 1.32, run loss 0.29
time 00h 25m 16s, episodes 1210, frames 298000, mean epr 1.32, run loss 0.31
time 00h 25m 21s, episodes 1217, frames 299000, mean epr 1.32, run loss 0.70
time 00h 25m 27s, episodes 1223, frames 300000, mean epr 1.30, run loss 0.43
time 00h 25m 31s, episodes 1225, frames 301000, mean epr 1.29, run loss 0.38
time 00h 25m 36s, episodes 1228, frames 302000, mean epr 1.28, run loss 0.37
time 00h 25m 42s, episodes 1232, frames 303000, mean epr 1.23, run loss -0.14
time 00h 25m 46s, episodes 1238, frames 304000, mean epr 1.27, run loss 0.37
time 00h 25m 52s, episodes 1241, frames 305000, mean epr 1.27, run loss 0.35
time 00h 25m 57s, episodes 1245, frames 306000, mean epr 1.32, run loss 0.81
time 00h 26m 02s, episodes 1249, frames 307000, mean epr 1.32, run loss 0.52
time 00h 26m 08s, episodes 1253, frames 308000, mean epr 1.31, run loss 0.52
time 00h 26m 13s, episodes 1254, frames 309000, mean epr 1.30, run loss 0.34
time 00h 26m 18s, episodes 1258, frames 310000, mean epr 1.31, run loss 0.16
time 00h 26m 23s, episodes 1262, frames 311000, mean epr 1.31, run loss -0.01
time 00h 26m 28s, episodes 1265, frames 312000, mean epr 1.32, run loss -0.08
time 00h 26m 33s, episodes 1271, frames 313000, mean epr 1.36, run loss 0.09
time 00h 26m 39s, episodes 1275, frames 314000, mean epr 1.44, run loss 1.31
time 00h 26m 43s, episodes 1277, frames 315000, mean epr 1.42, run loss 1.04
time 00h 26m 48s, episodes 1282, frames 316000, mean epr 1.40, run loss 0.55
time 00h 26m 53s, episodes 1283, frames 317000, mean epr 1.43, run loss 0.80
time 00h 26m 59s, episodes 1290, frames 318000, mean epr 1.42, run loss 0.60
time 00h 27m 04s, episodes 1293, frames 319000, mean epr 1.46, run loss 0.72
time 00h 27m 08s, episodes 1296, frames 320000, mean epr 1.45, run loss 0.78
time 00h 27m 14s, episodes 1299, frames 321000, mean epr 1.47, run loss 0.73
time 00h 27m 19s, episodes 1303, frames 322000, mean epr 1.48, run loss 0.78
time 00h 27m 24s, episodes 1310, frames 323000, mean epr 1.47, run loss 0.57
time 00h 27m 29s, episodes 1312, frames 324000, mean epr 1.48, run loss 0.79
time 00h 27m 34s, episodes 1314, frames 325000, mean epr 1.49, run loss 0.79
time 00h 27m 39s, episodes 1316, frames 326000, mean epr 1.48, run loss 0.76
time 00h 27m 44s, episodes 1319, frames 327000, mean epr 1.52, run loss 1.22
time 00h 27m 49s, episodes 1322, frames 328000, mean epr 1.53, run loss 1.05
time 00h 27m 54s, episodes 1328, frames 329000, mean epr 1.58, run loss 0.85
time 00h 28m 00s, episodes 1330, frames 330000, mean epr 1.60, run loss 0.90
time 00h 28m 05s, episodes 1334, frames 331000, mean epr 1.66, run loss 1.22
time 00h 28m 09s, episodes 1336, frames 332000, mean epr 1.65, run loss 1.04
time 00h 28m 16s, episodes 1343, frames 333000, mean epr 1.62, run loss 0.50
time 00h 28m 20s, episodes 1349, frames 334000, mean epr 1.65, run loss 0.80
time 00h 28m 26s, episodes 1351, frames 335000, mean epr 1.65, run loss 0.87
time 00h 28m 32s, episodes 1353, frames 336000, mean epr 1.63, run loss 0.77
time 00h 28m 37s, episodes 1358, frames 337000, mean epr 1.60, run loss 0.50
time 00h 28m 42s, episodes 1362, frames 338000, mean epr 1.56, run loss 0.14
time 00h 28m 46s, episodes 1367, frames 339000, mean epr 1.57, run loss 0.16
time 00h 28m 47s, episodes 1367, frames 339000, mean epr 1.57, run loss 0.16
time 00h 28m 51s, episodes 1372, frames 340000, mean epr 1.59, run loss 1.15
time 00h 28m 56s, episodes 1373, frames 341000, mean epr 1.58, run loss 0.99
time 00h 29m 02s, episodes 1376, frames 342000, mean epr 1.58, run loss 1.05
