time, episodes, frames, mean-epr, run-loss
00h-15m-07s, 12021, 4240000, 10.72, -5.30
00h-15m-19s, 12039, 4250000, 10.81, -5.72
00h-15m-31s, 12054, 4260000, 10.56, -6.36
00h-15m-43s, 12065, 4270000, 10.66, -5.85
00h-15m-56s, 12084, 4280000, 10.61, -6.28
00h-16m-08s, 12096, 4290000, 10.64, -5.91
00h-16m-19s, 12114, 4300000, 10.64, -5.86
00h-16m-33s, 12128, 4310000, 10.72, -6.43
00h-16m-45s, 12141, 4320000, 10.59, -6.30
00h-16m-58s, 12158, 4330000, 10.73, -5.67
00h-17m-10s, 12173, 4340000, 10.80, -5.94
00h-17m-22s, 12188, 4350000, 10.65, -5.78
00h-17m-35s, 12205, 4360000, 10.51, -5.32
00h-17m-48s, 12217, 4370000, 10.54, -5.51
00h-18m-00s, 12236, 4380000, 10.72, -6.94
00h-17m-59s, 12236, 4380000, 10.72, -6.94
00h-18m-12s, 12248, 4390000, 10.58, -7.58
00h-18m-24s, 12266, 4400000, 10.65, -6.28
00h-18m-37s, 12282, 4410000, 10.66, -6.51
00h-18m-50s, 12293, 4420000, 10.58, -7.19
00h-19m-02s, 12308, 4430000, 10.79, -6.92
00h-19m-16s, 12323, 4440000, 10.79, -6.90
00h-19m-28s, 12339, 4450000, 10.81, -6.69
00h-19m-39s, 12353, 4460000, 10.98, -6.99
00h-19m-51s, 12369, 4470000, 11.02, -6.85
00h-19m-52s, 12369, 4470000, 11.02, -6.85
00h-20m-04s, 12384, 4480000, 11.05, -6.00
00h-20m-17s, 12399, 4490000, 11.07, -5.92
00h-20m-28s, 12410, 4500000, 11.34, -5.41
00h-20m-41s, 12428, 4510000, 11.38, -6.07
00h-20m-53s, 12440, 4520000, 11.18, -6.35
00h-21m-06s, 12458, 4530000, 11.01, -6.36
00h-21m-18s, 12471, 4540000, 11.04, -6.22
00h-21m-31s, 12486, 4550000, 11.03, -5.89
00h-21m-43s, 12499, 4560000, 11.28, -5.60
00h-21m-56s, 12512, 4570000, 11.23, -6.21
00h-22m-09s, 12527, 4580000, 11.57, -5.54
00h-22m-21s, 12543, 4590000, 11.50, -6.20
00h-22m-33s, 12557, 4600000, 11.37, -5.71
00h-22m-47s, 12571, 4610000, 11.45, -5.56
00h-22m-58s, 12586, 4620000, 11.49, -5.59
00h-23m-11s, 12598, 4630000, 11.50, -6.06
00h-23m-25s, 12612, 4640000, 11.51, -5.85
00h-23m-36s, 12626, 4650000, 11.75, -5.71
00h-23m-48s, 12642, 4660000, 11.85, -5.78
00h-24m-00s, 12655, 4670000, 11.94, -5.45
00h-24m-11s, 12671, 4680000, 11.83, -5.21
00h-24m-23s, 12685, 4690000, 11.66, -6.08
00h-24m-36s, 12700, 4700000, 11.84, -5.99
00h-24m-48s, 12718, 4710000, 11.47, -6.14
